Trace1,
Freq,,Amp,,
            86532980,Hz,              -84.40, dBm,
            86549646,Hz,              -84.41, dBm,
            86566312,Hz,              -84.43, dBm,
            86582978,Hz,              -84.43, dBm,
            86599644,Hz,              -84.42, dBm,
            86616310,Hz,              -84.43, dBm,
            86632976,Hz,              -84.46, dBm,
            86649642,Hz,              -84.50, dBm,
            86666308,Hz,              -84.53, dBm,
            86682974,Hz,              -84.52, dBm,
            86699640,Hz,              -84.50, dBm,
            86716306,Hz,              -84.51, dBm,
            86732972,Hz,              -84.52, dBm,
            86749638,Hz,              -84.54, dBm,
            86766304,Hz,              -84.58, dBm,
            86782970,Hz,              -84.61, dBm,
            86799636,Hz,              -84.62, dBm,
            86816302,Hz,              -84.63, dBm,
            86832968,Hz,              -84.63, dBm,
            86849634,Hz,              -84.63, dBm,
            86866300,Hz,              -84.63, dBm,
            86882966,Hz,              -84.63, dBm,
            86899632,Hz,              -84.64, dBm,
            86916298,Hz,              -84.67, dBm,
            86932964,Hz,              -84.68, dBm,
            86949630,Hz,              -84.69, dBm,
            86966296,Hz,              -84.69, dBm,
            86982962,Hz,              -84.71, dBm,
            86999628,Hz,              -84.73, dBm,
            87016294,Hz,              -84.73, dBm,
            87032960,Hz,              -84.72, dBm,
            87049626,Hz,              -84.73, dBm,
            87066292,Hz,              -84.76, dBm,
            87082958,Hz,              -84.77, dBm,
            87099624,Hz,              -84.76, dBm,
            87116290,Hz,              -84.76, dBm,
            87132956,Hz,              -84.77, dBm,
            87149622,Hz,              -84.79, dBm,
            87166288,Hz,              -84.80, dBm,
            87182954,Hz,              -84.78, dBm,
            87199620,Hz,              -84.74, dBm,
            87216286,Hz,              -84.69, dBm,
            87232952,Hz,              -84.68, dBm,
            87249618,Hz,              -84.69, dBm,
            87266284,Hz,              -84.72, dBm,
            87282950,Hz,              -84.75, dBm,
            87299616,Hz,              -84.77, dBm,
            87316282,Hz,              -84.79, dBm,
            87332948,Hz,              -84.81, dBm,
            87349614,Hz,              -84.82, dBm,
            87366280,Hz,              -84.84, dBm,
            87382946,Hz,              -84.84, dBm,
            87399612,Hz,              -84.83, dBm,
            87416278,Hz,              -84.81, dBm,
            87432944,Hz,              -84.80, dBm,
            87449610,Hz,              -84.79, dBm,
            87466276,Hz,              -84.78, dBm,
            87482942,Hz,              -84.78, dBm,
            87499608,Hz,              -84.79, dBm,
            87516274,Hz,              -84.80, dBm,
            87532940,Hz,              -84.80, dBm,
            87549606,Hz,              -84.80, dBm,
            87566272,Hz,              -84.79, dBm,
            87582938,Hz,              -84.78, dBm,
            87599604,Hz,              -84.78, dBm,
            87616270,Hz,              -84.78, dBm,
            87632936,Hz,              -84.78, dBm,
            87649602,Hz,              -84.77, dBm,
            87666268,Hz,              -84.75, dBm,
            87682934,Hz,              -84.74, dBm,
            87699600,Hz,              -84.75, dBm,
Trace2,
Freq,,Amp,,
            77700000,Hz,              -84.78, dBm,
            77716666,Hz,              -84.78, dBm,
            77733332,Hz,              -84.80, dBm,
            77749998,Hz,              -84.82, dBm,
            77766664,Hz,              -84.84, dBm,
            77783330,Hz,              -84.86, dBm,
            77799996,Hz,              -84.87, dBm,
            77816662,Hz,              -84.89, dBm,
